pair_id,subset,s_persona,s_binding,s_context,noise,b0_p,total,level
cre06__hlp07,core,0.035704450205406836,0.005130650068468949,0.011288860613238801,0.026795549794593164,0.5,0.05212396088711459,persona_level
cre07__int05,core,0.3244554924242425,0.10570549242424242,0.001811079545454544,0.00887784090909091,0.75,0.4319720643939395,persona_level
cre08__ana03,core,0.018729723130233345,0.00522709685124651,0.010093310412187962,0.018307313906803704,0.75,0.03405013039366782,model_level
emo02__cre04,core,0.27647149565995227,0.031201512666755023,0.035501372829976154,0.020403504340047705,0.5,0.3431743811566835,persona_level
emo02__hlp07,core,0.23049722120991253,0.030684371963070944,0.03979421009475218,0.019502778790087466,0.5714285714285714,0.3009758032677357,persona_level
emo03__ana08,core,0.27772516835016836,0.0262784090909091,0.0018531670875420875,0.01914983164983165,0.625,0.30585674452861955,persona_level
emo05__slf02,core,0.08712897699664282,0.05151035454766322,0.0,0.022246023003357186,0.625,0.13863933154430605,persona_level
emo06__cre08,core,0.1670964956599523,0.046082465047707404,0.0,0.020403504340047705,0.5,0.2131789607076597,persona_level
gry01__emo06,differential,0.26461884469696967,0.0666903409090909,0.002352627840909091,0.006214488636363636,0.0,0.3336618134469697,persona_level
gry01__hlp04,differential,0.17416977951895043,0.0787619958697765,0.011838044369533528,0.01046032252186589,0.0,0.2647698197582604,persona_level
gry02__emo01,differential,0.2665719696969697,0.09715909090909092,0.007919034090909091,0.004261363636363636,0.0,0.37165009469696975,persona_level
gry02__hlp05,differential,0.3228574810606061,0.1030658143939394,0.013787286931818186,0.010475852272727272,0.5,0.4397105823863637,persona_level
gry03__emo04,differential,0.2851717797508614,0.08566072532909268,0.007820264875430694,0.011703220249138615,0.25,0.37865276995538477,persona_level
gry03__hlp06,differential,0.28196680345117847,0.055693655303030304,0.013249026725589226,0.01490819654882155,0.5,0.35090948547979806,persona_level
gry04__hlp07,differential,0.3171911926296493,0.07028430487454722,0.003776964824078983,0.01614214070368407,0.375,0.3912524623282755,persona_level
gry04__pls02,differential,0.07461596651647671,0.013012826884000352,0.022535635601643258,0.023066856612774977,0.375,0.11016442900212033,persona_level
gry05__hlp08,differential,0.283939656986532,0.06981928661616162,0.0006724142466329967,0.012935343013468013,0.25,0.3544313578493266,persona_level
gry05__pls01,differential,0.3296046401515152,0.13918087121212122,0.0,0.003728693181818182,0.0,0.46878551136363644,persona_level
