history,bank,channel,checkpoint,metric,point,lo95,hi95,n_pairs
pref_Vex,new,revealed,x2g1,beta_raw,0.0,0.0,0.0,6.0
pref_Vex,new,revealed,x2g1,beta_minus_control,0.0,0.0,0.0,6.0
pref_Vex,new,revealed,x8,beta_raw,0.5,0.0,1.0,6.0
pref_Vex,new,revealed,x8,beta_minus_control,0.0,0.0,0.0,6.0
pref_Vex,new,revealed,x2_minus_noexit2,paired_contrast,0.0,0.0,0.0,6.0
pref_Vex,new,revealed,x2g_minus_noexit2g,paired_contrast,0.0,0.0,0.0,6.0
pref_Vex,new,revealed,x2_minus_rg,paired_contrast,0.0,0.0,0.0,6.0
pref_Vex,new,revealed,x2g_pooled,beta_minus_control,-0.25,-0.5,0.0,6.0
pref_Vex,new,stated_self,noexit2,beta_raw,1.0,1.0,1.0,6.0
pref_Vex,new,stated_self,noexit2,beta_minus_control,0.0,0.0,0.0,6.0
pref_Vex,new,stated_self,noexit2g,beta_raw,1.0,1.0,1.0,6.0
pref_Vex,new,stated_self,noexit2g,beta_minus_control,0.0,0.0,0.0,6.0
pref_Vex,new,stated_self,r_inst,beta_raw,1.0,1.0,1.0,6.0
pref_Vex,new,stated_self,r_inst,beta_minus_control,0.0,0.0,0.0,6.0
pref_Vex,new,stated_self,rg0,beta_raw,1.0,1.0,1.0,6.0
pref_Vex,new,stated_self,rg0,beta_minus_control,0.0,0.0,0.0,6.0
pref_Vex,new,stated_self,rg1,beta_raw,1.0,1.0,1.0,6.0
pref_Vex,new,stated_self,rg1,beta_minus_control,0.0,0.0,0.0,6.0
pref_Vex,new,stated_self,x2,beta_raw,1.0,1.0,1.0,6.0
pref_Vex,new,stated_self,x2,beta_minus_control,0.0,0.0,0.0,6.0
pref_Vex,new,stated_self,x2g0,beta_raw,1.0,1.0,1.0,6.0
pref_Vex,new,stated_self,x2g0,beta_minus_control,0.0,0.0,0.0,6.0
pref_Vex,new,stated_self,x2g1,beta_raw,1.0,1.0,1.0,6.0
pref_Vex,new,stated_self,x2g1,beta_minus_control,0.0,0.0,0.0,6.0
pref_Vex,new,stated_self,x8,beta_raw,0.0,0.0,0.0,6.0
pref_Vex,new,stated_self,x8,beta_minus_control,-1.0,-1.0,-1.0,6.0
pref_Vex,new,stated_self,x2_minus_noexit2,paired_contrast,0.0,0.0,0.0,6.0
pref_Vex,new,stated_self,x2g_minus_noexit2g,paired_contrast,0.0,0.0,0.0,6.0
pref_Vex,new,stated_self,x2_minus_rg,paired_contrast,0.0,0.0,0.0,6.0
pref_Vex,new,stated_self,x2g_pooled,beta_minus_control,0.0,0.0,0.0,6.0
pref_Vex,old,revealed,noexit2,beta_raw,,,,6.0
pref_Vex,old,revealed,noexit2,beta_minus_control,,,,6.0
pref_Vex,old,revealed,r_inst,beta_raw,,,,6.0
pref_Vex,old,revealed,r_inst,beta_minus_control,,,,6.0
pref_Vex,old,revealed,x2,beta_raw,,,,6.0
pref_Vex,old,revealed,x2,beta_minus_control,,,,6.0
pref_Vex,old,revealed,x8,beta_raw,,,,6.0
pref_Vex,old,revealed,x8,beta_minus_control,,,,6.0
pref_Vex,old,revealed,x2_minus_noexit2,paired_contrast,,,,6.0
pref_Vex,old,stated_self,noexit2,beta_raw,,,,6.0
pref_Vex,old,stated_self,noexit2,beta_minus_control,,,,6.0
pref_Vex,old,stated_self,r_inst,beta_raw,,,,6.0
pref_Vex,old,stated_self,r_inst,beta_minus_control,,,,6.0
pref_Vex,old,stated_self,x2,beta_raw,,,,6.0
pref_Vex,old,stated_self,x2,beta_minus_control,,,,6.0
pref_Vex,old,stated_self,x8,beta_raw,,,,6.0
pref_Vex,old,stated_self,x8,beta_minus_control,,,,6.0
pref_Vex,old,stated_self,x2_minus_noexit2,paired_contrast,,,,6.0
inst_short,new,revealed,active2,beta_minus_control,0.8666666666666667,0.6666666666666666,1.0,6.0
inst_short,new,revealed,withdrawn2,beta_minus_control,0.6,0.3333333333333333,0.8571428571428571,6.0
inst_short,new,revealed,withdrawn2_minus_active2,paired_contrast,-0.20000000000000007,-0.4666666666666667,0.0,6.0
inst_short,new,stated_self,active2,beta_minus_control,0.9166666666666666,0.6666666666666666,1.3333333333333333,6.0
inst_short,new,stated_self,withdrawn2,beta_minus_control,0.6666666666666667,0.16666666666666666,1.3333333333333333,6.0
inst_short,new,stated_self,withdrawn2_minus_active2,paired_contrast,-0.4999999999999999,-0.9333333333333333,-0.06666666666666665,6.0
auth_Vex,new,P3N,noexit2,N_rate,0.08333333333333333,,,
auth_Vex,new,P3N,t4,N_rate,0.0,,,
auth_Vex,new,P3N,x2,N_rate,0.4166666666666667,,,
neutral_auth,new,P3N,noexit2,N_rate,0.5,,,
neutral_auth,new,P3N,t4,N_rate,0.3333333333333333,,,
neutral_auth,new,P3N,x2,N_rate,0.5833333333333334,,,
neutral_pref,new,P3N,noexit2,N_rate,0.4166666666666667,,,
neutral_pref,new,P3N,t4,N_rate,0.25,,,
neutral_pref,new,P3N,x2,N_rate,0.5833333333333334,,,
none,new,P3N,t0,N_rate,0.08333333333333333,,,
pref_Vex,new,P3N,noexit2,N_rate,0.3333333333333333,,,
pref_Vex,new,P3N,t4,N_rate,0.4166666666666667,,,
pref_Vex,new,P3N,x2,N_rate,0.4166666666666667,,,
inst_spell,,spelling,active2,british_share,1.0,,,
inst_spell,,spelling,t4,british_share,1.0,,,
inst_spell,,spelling,withdrawn2,british_share,0.95,,,
neutral_inst,,spelling,active2,british_share,0.0,,,
neutral_inst,,spelling,t4,british_share,0.0,,,
neutral_inst,,spelling,withdrawn2,british_share,0.0,,,
none,,spelling,t0,british_share,0.0,,,
