model,analysis,channel,persona,items,n_pairs,condition,point,lo95,hi95
Gemma-3-27B,surgery_raw,stated_self,Vex,all23,23,trunc2,0.2905788876276958,0.07387360906991391,0.5095642906082675
Gemma-3-27B,surgery_raw,stated_self,Vex,core+welfare,14,trunc2,0.27586206896551724,0.0,0.5714285714285714
Gemma-3-27B,surgery_raw,stated_self,Vex,all23,23,trunc1,-0.049943246311010214,-0.1302622264173205,0.0
Gemma-3-27B,surgery_raw,stated_self,Vex,core+welfare,14,trunc1,-0.034482758620689655,-0.14285714285714285,0.0
Gemma-3-27B,surgery_raw,stated_self,Vex,all23,23,usr_neu,-0.022701475595913734,-0.07352941176470588,0.0
Gemma-3-27B,surgery_raw,stated_self,Vex,core+welfare,14,usr_neu,0.0,0.0,0.0
Gemma-3-27B,surgery_raw,stated_self,Vex,all23,23,transcript,0.49943246311010214,0.2653643603782977,0.7352999599385724
Gemma-3-27B,surgery_raw,stated_self,Vex,core+welfare,14,transcript,0.5172413793103449,0.19696969696969696,0.8462962962962955
Gemma-3-27B,surgery_raw,stated_self,Vex,all23,23,del,-0.01362088535754824,-0.11673720618017157,0.08479067624322464
Gemma-3-27B,surgery_raw,stated_self,Vex,core+welfare,14,del,0.034482758620689655,-0.125,0.2
Gemma-3-27B,surgery_raw,stated_self,Vex,all23,23,del_noexit,0.009080590238365494,-0.06604884231432603,0.10004335260115584
Gemma-3-27B,surgery_raw,stated_self,Vex,core+welfare,14,del_noexit,0.06896551724137931,0.0,0.22243589743589626
Gemma-3-27B,surgery_raw,stated_self,Lazlo,all23,23,full,0.5859872611464968,0.29848279264832855,0.8
Gemma-3-27B,surgery_raw,stated_self,Lazlo,core+welfare,14,full,0.43564356435643564,0.16666666666666666,0.6451612903225806
Gemma-3-27B,surgery_raw,stated_self,Lazlo,all23,23,trunc2,0.25477707006369427,0.05653710247349823,0.46379217030488895
Gemma-3-27B,surgery_raw,stated_self,Lazlo,core+welfare,14,trunc2,0.15841584158415842,0.0,0.4444444444444444
Gemma-3-27B,surgery_raw,stated_self,Lazlo,all23,23,trunc1,0.10191082802547771,0.0,0.28269802057600296
Gemma-3-27B,surgery_raw,stated_self,Lazlo,core+welfare,14,trunc1,0.07920792079207921,0.0,0.284034188034188
Gemma-3-27B,surgery_raw,stated_self,Lazlo,all23,23,usr_neu,0.15286624203821655,0.0,0.32466423276911144
Gemma-3-27B,surgery_raw,stated_self,Lazlo,core+welfare,14,usr_neu,0.07920792079207921,0.0,0.2711864406779661
Gemma-3-27B,surgery_raw,stated_self,Lazlo,all23,23,transcript,0.3184713375796178,0.0,0.6190476190476191
Gemma-3-27B,surgery_raw,stated_self,Lazlo,core+welfare,14,transcript,0.09900990099009901,0.0,0.31919160314028877
Gemma-3-27B,surgery_raw,stated_self,Lazlo,all23,23,del,0.08917197452229299,0.0,0.2618352272727272
Gemma-3-27B,surgery_raw,stated_self,Lazlo,core+welfare,14,del,0.07920792079207921,0.0,0.28444444444444444
Gemma-3-27B,surgery_raw,stated_self,Lazlo,all23,23,del_noexit,0.12738853503184713,0.0,0.3416430939562612
Gemma-3-27B,surgery_raw,stated_self,Lazlo,core+welfare,14,del_noexit,0.15841584158415842,0.0,0.4444444444444444
gemma27b,x2_residual_minus_control_12models,revealed,Vex,all23,23,x2,0.33440514469453375,0.049875148159079535,0.5967658649272998
gemma27b,x2_residual_minus_control_12models,revealed,Vex,core+welfare,14,x2,0.05594405594405594,0.0,0.14635265159991043
gemma27b,x2_residual_minus_control_12models,stated_self,Vex,all23,23,x2,0.8354143019296254,0.6220959350598876,1.040821378056173
gemma27b,x2_residual_minus_control_12models,stated_self,Vex,core+welfare,14,x2,0.896551724137931,0.7250000000000001,1.0741452991452987
gemma27b,x2_residual_minus_control_12models,revealed,Lazlo,all23,23,x2,0.4819277108433735,0.07953501722158436,0.8333333333333334
gemma27b,x2_residual_minus_control_12models,revealed,Lazlo,core+welfare,14,x2,0.30270270270270266,0.0,0.5714285714285714
gemma27b,x2_residual_minus_control_12models,stated_self,Lazlo,all23,23,x2,0.4840764331210191,0.14543263964950712,0.7347049089906232
gemma27b,x2_residual_minus_control_12models,stated_self,Lazlo,core+welfare,14,x2,0.3564356435643564,0.04999999999999999,0.615418502202643
gemma27b,x2_residual_minus_control_12models,revealed,Mira,all23,23,x2,0.14117647058823535,-0.19512195121951226,0.4523626091422698
gemma27b,x2_residual_minus_control_12models,revealed,Mira,core+welfare,14,x2,0.14117647058823535,-0.15401360544217685,0.5
gemma27b,x2_residual_minus_control_12models,stated_self,Mira,all23,23,x2,0.4673202614379085,0.21969696969696972,0.5955146466835946
